2025-11-05 20:35:31,388 | INFO | src.utils | Epoch 9 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:34,580 | INFO | src.utils | Epoch 10 train loss: 7.697519, examples=97401, time=3.2s
2025-11-05 20:35:35,283 | INFO | src.utils | Epoch 10 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:35,283 | INFO | src.utils | Saving checkpoint at epoch 10
2025-11-05 20:35:35,289 | INFO | src.engine | Saved checkpoint metadata to artifacts/model\checkpoint_epoch_10.pth
2025-11-05 20:35:35,293 | INFO | src.model | Saved model state_dict to artifacts/model\pytorch_model.bin
2025-11-05 20:35:35,294 | INFO | src.model | Saved config to artifacts/model\config.json
2025-11-05 20:35:35,294 | INFO | src.engine | Saved model weights/config via save_pretrained to artifacts/model
2025-11-05 20:35:38,364 | INFO | src.utils | Epoch 11 train loss: 7.697519, examples=97401, time=3.1s
2025-11-05 20:35:38,961 | INFO | src.utils | Epoch 11 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:41,979 | INFO | src.utils | Epoch 12 train loss: 7.697519, examples=97401, time=3.0s
2025-11-05 20:35:42,613 | INFO | src.utils | Epoch 12 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:45,768 | INFO | src.utils | Epoch 13 train loss: 7.697519, examples=97401, time=3.2s
2025-11-05 20:35:46,332 | INFO | src.utils | Epoch 13 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:49,313 | INFO | src.utils | Epoch 14 train loss: 7.697519, examples=97401, time=3.0s
2025-11-05 20:35:49,874 | INFO | src.utils | Epoch 14 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:53,279 | INFO | src.utils | Epoch 15 train loss: 7.697519, examples=97401, time=3.4s
2025-11-05 20:35:54,015 | INFO | src.utils | Epoch 15 val metrics: {"loss": 7.391304969787598, "rmse": 2.7186953392806057, "precision@k": 0.0005302226935312832, "recall@k": 0.005302226935312832, "ndcg@k": 0.0022104773758425656}
2025-11-05 20:35:54,016 | INFO | src.utils | Saving checkpoint at epoch 15
2025-11-05 20:35:54,021 | INFO | src.engine | Saved checkpoint metadata to artifacts/model\checkpoint_epoch_15.pth
2025-11-05 20:35:54,026 | INFO | src.model | Saved model state_dict to artifacts/model\pytorch_model.bin
2025-11-05 20:35:54,027 | INFO | src.model | Saved config to artifacts/model\config.json
2025-11-05 20:35:54,027 | INFO | src.engine | Saved model weights/config via save_pretrained to artifacts/model
